Téléchargé sur lestransactions.fr sous Licence CC-BY-NC-SA
ISIN;Société;Déclarant;Date;Nature;Instrument;Prix;Volume;Total;Total en part de la capitalisation (x%);Monnaie;pdf
FR0000120503;BOUYGUES;OLIVIER ROUSSAT, DIRECTEUR GENERAL DELEGUE DE BOUYGUES;2017-10-19;Cession;Action;40.1495;28000;1124186;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=31ca61c6-0c29-4f34-abc1-756f2c1207df&famille=BDIF&bdifId=888415DD7102_2017DD514888
FR0000120503;BOUYGUES;OLIVIER ROUSSAT, DIRECTEUR GENERAL DELEGUE DE BOUYGUES;2017-10-19;Exercice;Option d'achat;22.28;28000;623840;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=30c666c3-a6f7-480f-8573-a349b931acaf&famille=BDIF&bdifId=788415DD7102_2017DD514887
FR0000120503;BOUYGUES;FRANCOIS BERTIERE, PRESIDENT DE BOUYGUES IMMOBILIER FILIALE DIRECTE DE BOUYGUES;2017-10-19;Cession;Action;40.1182;25250;1012984;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=8aff7ea0-d352-42f6-8fff-a2af36cd0acf&famille=BDIF&bdifId=688415DD7102_2017DD514886
FR0000120503;BOUYGUES;FRANCOIS BERTIERE, PRESIDENT DE BOUYGUES IMMOBILIER FILIALE DIRECTE DE BOUYGUES;2017-10-19;Exercice;Option d'achat;34.08;25250;860520;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=96311e10-570c-4bce-ae27-52a809a06a45&famille=BDIF&bdifId=588415DD7102_2017DD514885
FR0000120503;BOUYGUES;SCDM SAS, ADMINISTRATEUR DE BOUYGUES;2017-10-20;Acquisition;Action;40.3907;123000;4968056;0.034319260154738886;Euros;http://www.amf-france.org/technique/multimedia?docId=bd11b318-b17e-46a1-8fb0-3f3073fe7bdf&famille=BDIF&bdifId=488415DD7102_2017DD514884
FR0000120503;BOUYGUES;SCDM SAS, ADMINISTRATEUR DE BOUYGUES;2017-10-19;Acquisition;Action;40.0629;135000;5408491;0.03736178156949434;Euros;http://www.amf-france.org/technique/multimedia?docId=30f5e032-b309-40ea-993c-5007151d444a&famille=BDIF&bdifId=188415DD7102_2017DD514881
FR0013251584;@-HEALTH;PEEL sarl personne morale liée à pierre-paul goiffon, directeur général;2017-10-20;Cession;Action;7.42;652;4837;0.013075243243243244;Euros;http://www.amf-france.org/technique/multimedia?docId=0dcc9a30-fd92-4cc4-8391-3e31b9d70c77&famille=BDIF&bdifId=758415DD7102_2017DD514857
FR0013251584;@-HEALTH;PEEL sarl personne morale liée à pierre-paul goiffon, directeur général;2017-10-19;Cession;Action;7.42;735;5453;0.01473972972972973;Euros;http://www.amf-france.org/technique/multimedia?docId=1bfed79a-a804-43fd-9c53-720c441367ba&famille=BDIF&bdifId=658415DD7102_2017DD514856
FR0013251584;@-HEALTH;PEEL sarl personne morale liée à pierre-paul goiffon, directeur général;2017-10-18;Cession;Action;7.42;5590;41477;0.11210216216216218;Euros;http://www.amf-france.org/technique/multimedia?docId=3cc54c8a-c09f-4d08-b44d-f84cbe06e765&famille=BDIF&bdifId=558415DD7102_2017DD514855
FR0013251584;@-HEALTH;J3PC sarl personne morale liée à jean-pascal peyret, président;2017-10-20;Cession;Action;7.42;388;2878;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=1b2acd0c-9c0f-4ca5-932a-05477c9842b2&famille=BDIF&bdifId=458415DD7102_2017DD514854
FR0000031684;"ROTHSCHILD &amp; CO";"Nigel Higgins, Managing Partner de Rothschild &amp; Co Gestion SAS, elle-même Gérant de Rothschild &amp; Co SCA";2017-10-11;Acquisition;Action;17.5;10600;185500;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=ca7f817a-a5ca-4bd3-94bb-b70d757f6d14&famille=BDIF&bdifId=358415DD7102_2017DD514853
FR0000063737;AUBAY;"Vincent Gauthier, DGD &amp; administrateur";2017-10-23;Donation;Action;34.94;10000;349400;0.07662280701754386;Euros;http://www.amf-france.org/technique/multimedia?docId=078b5f41-8476-441e-8476-1513aed1dfc1&famille=BDIF&bdifId=258415DD7102_2017DD514852
FR0011271600;FERMENTALG;Bpifrance Participations SA, CENSEUR;2017-10-19;Souscription;Action;2.5;1335531;3338827;7.1038882978723406;Euros;http://www.amf-france.org/technique/multimedia?docId=64faeec3-920c-4562-b134-5f252869bb24&famille=BDIF&bdifId=048415DD7102_2017DD514840
FR0011271600;FERMENTALG;BPIFRANCE INVESTISSEMENT SAS, ADMINISTRATEUR;2017-10-19;Souscription;Action;2.5;801318;2003295;4.262329787234043;Euros;http://www.amf-france.org/technique/multimedia?docId=e02a76b1-3aa7-4d87-a8f3-b945dd4469d8&famille=BDIF&bdifId=738415DD7102_2017DD514837
FR0013155975;LA SAVONNERIE DE NYONS;HOLDING ALLEE EURL personne morale liée à ERWAN ALLEE, PRESIDENT/GERANT;2017-10-18;Acquisition;Action;14.3;20;286;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=107869d2-860f-4a9f-a627-cfad12e27a87&famille=BDIF&bdifId=486415DD7102_2017DD514684
FR0000031775;VICAT S.A.;SOPARFI SA personne morale liée à Jacques MERCERON-VICAT, Président;2017-10-20;Acquisition;Action;64.38;440;28327;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=7e6ec0c6-9f1f-4776-a96e-2c2842f59e9d&famille=BDIF&bdifId=931515DD7102_2017DD515139
FR0010523167;ROCTOOL;Mathieu Boulanger, Directeur Général;2017-10-24;Acquisition;Action;8.5;200;1700;0.0;Dollars;http://www.amf-france.org/technique/multimedia?docId=6ab55ab3-e2b0-46c6-9729-070ea6eec10d&famille=BDIF&bdifId=521515DD7102_2017DD515125
FR0010523167;ROCTOOL;Mathieu Boulanger, Directeur Général;2017-10-16;Acquisition;Action;8.9;200;1780;0.0;Dollars;http://www.amf-france.org/technique/multimedia?docId=4ec4a380-c2a4-4bea-94ed-3cc94646e1fa&famille=BDIF&bdifId=421515DD7102_2017DD515124
FR0004050300;GROUPE OPEN;"AVYA PARTNERS &#160;personne morale liée à Laurent SADOUN, Directeur Général Délégué";2017-10-24;Cession;Action;28.7013;6000;172207;0.07028889795918368;Euros;http://www.amf-france.org/technique/multimedia?docId=364671ae-a780-41fd-b6b4-efd437de4685&famille=BDIF&bdifId=860515DD7102_2017DD515068
FR0000053225;METROPOLE TELEVISION;Bernard MAJANI, Directeur des Acquisitions;2017-10-13;Cession;Action;20.465;30129;616589;0.024351895142180096;Euros;http://www.amf-france.org/technique/multimedia?docId=00f76985-778a-408d-a6d8-9204fa31bc7e&famille=BDIF&bdifId=210515DD7102_2017DD515012
FR0010397232;NOVACYT;CUP92 SAS personne morale liée à jean-pierre crinelli, administrateur;2017-10-20;Souscription;Action;0.66;75757;49999;0.2499981;Euros;http://www.amf-france.org/technique/multimedia?docId=688e57db-4880-43a9-a7e0-b38b5d9d9475&famille=BDIF&bdifId=600515DD7102_2017DD515006
FR0000074148;ASSYSTEM;HDL Development société par actions simplifiée personne morale liée à Dominique Louis, Président du conseil d'administration -;2017-10-24;Cession;Action;31.963;63724;2036810;0.2741332721399731;Euros;http://www.amf-france.org/technique/multimedia?docId=252fd684-405c-4b8a-a8e7-21cb58332d90&famille=BDIF&bdifId=233515DD7102_2017DD515332
FR0000060303;FONCIERE DES MURS;CARDIF ASSURANCE VIE , Membre du Conseil de Surveillance;2017-10-20;Cession;Action;26.5;393559;10429313;0.4196906841046278;Euros;http://www.amf-france.org/technique/multimedia?docId=7cc1e32a-551e-4820-8399-0f7325654e7e&famille=BDIF&bdifId=823515DD7102_2017DD515328
FR0004027068;LANSON-BCC;FIAG HOLDING sas, administrateur;2017-10-23;Acquisition;Action;33.1225;914;30273;0.012993118025751075;Euros;http://www.amf-france.org/technique/multimedia?docId=bfdf6982-858f-4518-b4c7-d3de3f3fabe4&famille=BDIF&bdifId=703515DD7102_2017DD515307
FR0010120402;THERACLION;Francois Lacoste, ADMINISTRATEUR;2017-10-20;Cession;Action;4.27;2000;8540;0.0266875;Euros;http://www.amf-france.org/technique/multimedia?docId=361119bb-186a-422b-9e9b-bd185fe4825f&famille=BDIF&bdifId=503515DD7102_2017DD515305
FR0010120402;THERACLION;Francois Lacoste, ADMINISTRATEUR;2017-10-23;Cession;Action;4.24;1000;4240;0.01325;Euros;http://www.amf-france.org/technique/multimedia?docId=361119bb-186a-422b-9e9b-bd185fe4825f&famille=BDIF&bdifId=503515DD7102_2017DD515305
FR0013227683;IPSOS;Anne Martijn KIST, Manager IIS Innovation;2017-06-13;Exercice;Option d'achat;33.33;6579;219278;685243.9687499999;Euros;http://www.amf-france.org/technique/multimedia?docId=65ebe1ba-5a8e-4bcb-ba12-41437fc073f4&famille=BDIF&bdifId=162515DD7102_2017DD515261
FR0000073298;IPSOS;Alex GRONBERGER, CEO Ipsos Latin America;2017-06-20;Cession;Action;34.0274;3325;113141;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=fcd6e92a-e978-4063-99c3-41d7c4836e62&famille=BDIF&bdifId=062515DD7102_2017DD515260
FR0000121220;SODEXO;Cécile BELLON personne liée à Bernard BELLON, Administrateur;2017-07-07;Acquisition;Action;106.328225;40000;4253129;0.026665385579937303;Euros;http://www.amf-france.org/technique/multimedia?docId=d51cde88-0590-4120-bb51-30faffcdcec4&famille=BDIF&bdifId=981515DD7102_2017DD515189
FR0000121220;SODEXO;Cécile BELLON personne liée à Bernard BELLON, Administrateur;2017-07-11;Acquisition;Action;102.92985;20000;2058597;0.012906564263322883;Euros;http://www.amf-france.org/technique/multimedia?docId=d51cde88-0590-4120-bb51-30faffcdcec4&famille=BDIF&bdifId=981515DD7102_2017DD515189
FR0000121220;SODEXO;Cécile BELLON personne liée à Bernard BELLON, Administrateur;2017-07-24;Acquisition;Action;100.4;10000;1004000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=d51cde88-0590-4120-bb51-30faffcdcec4&famille=BDIF&bdifId=981515DD7102_2017DD515189
FR0000121220;SODEXO;Cécile BELLON personne liée à Bernard BELLON, Administrateur;2017-08-09;Acquisition;Action;98.0;10000;980000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=d51cde88-0590-4120-bb51-30faffcdcec4&famille=BDIF&bdifId=981515DD7102_2017DD515189
FR0000121220;SODEXO;Cécile BELLON personne liée à Bernard BELLON, Administrateur;2017-08-18;Acquisition;Action;97.49247071946458;3586;349608;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=d51cde88-0590-4120-bb51-30faffcdcec4&famille=BDIF&bdifId=981515DD7102_2017DD515189
FR0000121220;SODEXO;Cécile BELLON personne liée à Bernard BELLON, Administrateur;2017-08-21;Acquisition;Action;97.5;6414;625365;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=d51cde88-0590-4120-bb51-30faffcdcec4&famille=BDIF&bdifId=981515DD7102_2017DD515189
FR0000121220;SODEXO;Cécile BELLON personne liée à Bernard BELLON, Administrateur;2017-08-29;Acquisition;Action;97.0;10000;970000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=d51cde88-0590-4120-bb51-30faffcdcec4&famille=BDIF&bdifId=981515DD7102_2017DD515189
FR0000121220;SODEXO;Cécile BELLON personne liée à Bernard BELLON, Administrateur;2017-09-15;Acquisition;Action;100.0;10000;1000000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=d51cde88-0590-4120-bb51-30faffcdcec4&famille=BDIF&bdifId=981515DD7102_2017DD515189
FR0000121220;SODEXO;Cécile BELLON personne liée à Bernard BELLON, Administrateur;2017-10-11;Acquisition;Action;102.4995794785534;1189;121872;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=d51cde88-0590-4120-bb51-30faffcdcec4&famille=BDIF&bdifId=981515DD7102_2017DD515189
FR0010343186;HEURTEY PETROCHEM;AXENS , Actionnaire, personne morale liée à Jean Sentenac et Olivier Blatter, administrateurs;2017-10-06;Acquisition;Action;24.0;92;2208;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=e989bbff-29b9-4d82-a781-b9747d6e6ca5&famille=BDIF&bdifId=881515DD7102_2017DD515188
FR0010343186;HEURTEY PETROCHEM;AXENS , Actionnaire, personne morale liée à Jean Sentenac et Olivier Blatter, administrateurs;2017-10-19;Acquisition;Action;23.495;484;11371;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=e989bbff-29b9-4d82-a781-b9747d6e6ca5&famille=BDIF&bdifId=881515DD7102_2017DD515188
FR0010343186;HEURTEY PETROCHEM;AXENS , Actionnaire, personne morale liée à Jean Sentenac et Olivier Blatter, administrateurs;2017-10-23;Acquisition;Action;23.34;1031;24063;0.021108368421052633;Euros;http://www.amf-france.org/technique/multimedia?docId=e989bbff-29b9-4d82-a781-b9747d6e6ca5&famille=BDIF&bdifId=881515DD7102_2017DD515188
FR0000130403;CHRISTIAN DIOR SE;NICOLAS BAZIRE, membre du conseil d'administration;2017-10-24;Acquisition;Action;280.22;200;56044;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=38af02c7-bf34-4edf-b801-fc610817c74d&famille=BDIF&bdifId=681515DD7102_2017DD515186
FR0000121220;SODEXO;Bernard Bellon, Administrateur;2016-09-19;Acquisition;Action;103.89999054284092;21148;2197277;0.013776031347962382;Euros;http://www.amf-france.org/technique/multimedia?docId=b5814032-80f7-4bc5-8cac-e1b6a33b046a&famille=BDIF&bdifId=581515DD7102_2017DD515185
FR0000121220;SODEXO;Bernard Bellon, Administrateur;2016-09-27;Acquisition;Action;103.9;12500;1298750;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=b5814032-80f7-4bc5-8cac-e1b6a33b046a&famille=BDIF&bdifId=581515DD7102_2017DD515185
FR0000121220;SODEXO;Bernard Bellon, Administrateur;2016-10-07;Acquisition;Action;102.2;10000;1022000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=b5814032-80f7-4bc5-8cac-e1b6a33b046a&famille=BDIF&bdifId=581515DD7102_2017DD515185
FR0000121220;SODEXO;Bernard Bellon, Administrateur;2017-03-10;Cession;Action;105.29965966797529;149266;15717659;0.09854331661442006;Euros;http://www.amf-france.org/technique/multimedia?docId=b5814032-80f7-4bc5-8cac-e1b6a33b046a&famille=BDIF&bdifId=581515DD7102_2017DD515185
FR0000121220;SODEXO;Bernard Bellon, Administrateur;2017-09-22;Cession;Action;103.4999470170605;9437;976729;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=b5814032-80f7-4bc5-8cac-e1b6a33b046a&famille=BDIF&bdifId=581515DD7102_2017DD515185
FR0000121220;SODEXO;Bernard Bellon, Administrateur;2017-09-25;Cession;Action;103.49911190053285;563;58270;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=b5814032-80f7-4bc5-8cac-e1b6a33b046a&famille=BDIF&bdifId=581515DD7102_2017DD515185
FR0000121220;SODEXO;Bernard Bellon, Administrateur;2017-09-12;Cession;Action;105.5;12000;1266000;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=b5814032-80f7-4bc5-8cac-e1b6a33b046a&famille=BDIF&bdifId=581515DD7102_2017DD515185
FR0000121220;SODEXO;Soumitra DUTTA, Administrateur;2017-01-25;Acquisition;ADR;11103.95;500;5551975;0.03480862068965517;Dollars;http://www.amf-france.org/technique/multimedia?docId=98f10f09-1f57-4801-92ab-82a074083d78&famille=BDIF&bdifId=481515DD7102_2017DD515184
FR0010397232;NOVACYT;CUP92 SAS personne morale liée à jean-pierre crinelli, administrateur;2017-10-24;Cession;Action;0.67;52633;35264;0.17632055;Euros;http://www.amf-france.org/technique/multimedia?docId=e9e85d8c-7c21-44fe-8a30-a94b7b84d234&famille=BDIF&bdifId=381515DD7102_2017DD515183
FR0010397232;NOVACYT;CUP92 SAS personne morale liée à jean-pierre crinelli, administrateur;2017-10-20;Cession;Action;0.7;2140;1498;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=1fb4663f-d6dc-4cdd-b19d-6f4e285f1b01&famille=BDIF&bdifId=181515DD7102_2017DD515181
FR0004163111;GENFIT;Jean-François MOUNEY, Président Directeur Général;2017-10-24;Acquisition;Action;21.252;2000;42504;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=8d94d721-dc0a-4c26-8389-d7d2d46d9f6c&famille=BDIF&bdifId=081515DD7102_2017DD515180
FR0000121014;LVMH MOET HENNESSY-LOUIS VUITTON;ANTOINE ARNAULT, membre du conseil d'administration;2017-10-24;nantissement;Action;0.0;4202;0;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=463c3425-523e-41e1-9489-7f8eceadb3da&famille=BDIF&bdifId=471515DD7102_2017DD515174
FR0004170017;SA LE NOBLE AGE;"IMMOBILIERE DU VALLON SARL personne morale liée à Jean-Paul &#160;SIRET, Président directeur général";2017-10-24;Cession;Action;60.2648;1800;108476;0.01873517098445596;Euros;http://www.amf-france.org/technique/multimedia?docId=9300e0dd-5df4-4a1d-8901-7a28f878c53a&famille=BDIF&bdifId=261515DD7102_2017DD515162
FR0000073298;IPSOS;Dean Luker, Corporate Development Director;2017-10-27;Cession;Action;31.845;660;21017;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=64db747f-3af8-44a2-8b4a-0e55bcbf2923&famille=BDIF&bdifId=075515DD7102_2017DD515570
FR0000120073;L'AIR LIQUIDE;PIERRE DUFOUR, Administrateur;2017-10-26;Cession;Action;108.0;56513;6103404;0.01305736473910532;Euros;http://www.amf-france.org/technique/multimedia?docId=2b2d1d44-c7a7-4eb7-829a-37331a2b09a8&famille=BDIF&bdifId=555515DD7102_2017DD515555
FR0000120073;L'AIR LIQUIDE;PIERRE DUFOUR, Administrateur;2017-10-26;Exercice;Option d'achat;77.36;56513;4371845;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=f2d1a77a-1187-4633-a512-92bc3dc672c6&famille=BDIF&bdifId=445515DD7102_2017DD515544
FR0004178572;MEDICREA INTERNATIONAL;Jean Philippe Caffiero, DIRECTEUR GENERAL DELEGUE;2017-10-24;Cession;Action;4.07;10000;40700;0.07980392156862745;Euros;http://www.amf-france.org/technique/multimedia?docId=8a2bf161-b728-4194-8479-18c2251de156&famille=BDIF&bdifId=125515DD7102_2017DD515521
FR0010397232;NOVACYT;CUP92 SAS personne morale liée à jean-pierre crinelli, administrateur;2017-10-26;Cession;Action;0.67;3678;2464;0.01173457142857143;Euros;http://www.amf-france.org/technique/multimedia?docId=cbc820b8-7e3a-4eb6-a3f3-8727b9a8903f&famille=BDIF&bdifId=025515DD7102_2017DD515520
FR0010397232;NOVACYT;CUP92 SAS personne morale liée à jean-pierre crinelli, administrateur;2017-10-25;Cession;Action;0.67;11322;7585;0.036122571428571434;Euros;http://www.amf-france.org/technique/multimedia?docId=fcdca857-a6e5-4e02-8c57-a6fb4f893d71&famille=BDIF&bdifId=815515DD7102_2017DD515518
FR0000120503;BOUYGUES;SCDM PARTICIPATIONS SAS, ADMINISTRATEUR DE BOUYGUES;2017-10-25;RECLASSEMENT INTERNE AU GROUPE SCDM - CESSION PAR SCDM PARTICIPATIONS;Action;40.3;3000000;120899999;0.8239062287038298;Euros;http://www.amf-france.org/technique/multimedia?docId=4ab1314c-8e58-43f5-a6e9-a77fb0a79e7e&famille=BDIF&bdifId=673515DD7102_2017DD515376
FR0000120503;BOUYGUES;SCDM SAS, ADMINISTRATEUR DE BOUYGUES;2017-10-25;RECLASSEMENT INTERNE AU GROUPE SCDM - ACHAT PAR SCDM D'ACTIONS BY;Action;40.3;3000000;120899999;0.8239062287038298;Euros;http://www.amf-france.org/technique/multimedia?docId=b4b8f4f6-c2a0-416f-98f1-33c0f44841d6&famille=BDIF&bdifId=073515DD7102_2017DD515370
FR0012353530;VEXIM;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-10-24;Cession;Action;20.0;2148335;42966700;4296.67;Euros;http://www.amf-france.org/technique/multimedia?docId=28042b6c-2d28-4b51-acf8-d9072943afe2&famille=BDIF&bdifId=853515DD7102_2017DD515358
FR0012353530;VEXIM;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-10-24;Cession;BSAAR;3.91;78580;307247;30.72478;Euros;http://www.amf-france.org/technique/multimedia?docId=28042b6c-2d28-4b51-acf8-d9072943afe2&famille=BDIF&bdifId=853515DD7102_2017DD515358
FR0010533075;GROUPE EUROTUNNEL SE;Jean-Pierre Trotignon, Membre du Conseil d'administration;2017-10-25;Cession;Action;10.515;417;4384;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=d2d75357-79b5-4095-b696-648cea86900b&famille=BDIF&bdifId=753515DD7102_2017DD515357
FR0010667147;COFACE SA;Xavier DURAND, Directeur général;2017-10-26;Acquisition;Action;9.26;1000;9260;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=607be1ac-145e-43cd-84b0-9dd1fd295a2c&famille=BDIF&bdifId=196515DD7102_2017DD515691
FR0004156297;LINEDATA SERVICES;AMANAAT SAS personne morale liée à Anvaraly JIVA, Président Directeur Général;2017-09-13;Acquisition;Action;41.06;8300;340798;0.11957824561403509;Euros;http://www.amf-france.org/technique/multimedia?docId=04a71933-2717-4a5d-bfdd-885794729e0d&famille=BDIF&bdifId=676515DD7102_2017DD515676
FR0004156297;LINEDATA SERVICES;AMANAAT SAS personne morale liée à Anvaraly JIVA, Président Directeur Général;2017-10-20;Acquisition;Action;39.53;20000;790600;0.2774035087719298;Euros;http://www.amf-france.org/technique/multimedia?docId=603394dd-2556-4dbf-80b9-1b141b7add90&famille=BDIF&bdifId=576515DD7102_2017DD515675
FR0011648716;CARBIOS;Alain Marty, Directeur Scientifique;2017-10-06;Exercice;Action;2.25;3500;7875;0.020723684210526314;Euros;http://www.amf-france.org/technique/multimedia?docId=2dbbc118-fb58-48d2-a200-4a3dded3c9b2&famille=BDIF&bdifId=766515DD7102_2017DD515667
FR0000031577;VIRBAC;Christian KARST, Membre du directoire;2017-10-20;Acquisition;Action;117.0;425;49725;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=5d99ff15-4e19-4f63-aca7-d3fd1699fc10&famille=BDIF&bdifId=146515DD7102_2017DD515641
FR0000031577;VIRBAC;SEBASTIEN HURON, Directeur des opérations commerciales monde;2017-10-26;Acquisition;Action;110.4;225;24840;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=a1f1a4c2-8272-4f06-b001-fce0f8ed3455&famille=BDIF&bdifId=636515DD7102_2017DD515636
FR0004035913;ILIAD;Xavier Niel, administrateur / directeur general delegue;2017-10-25;Donation;Action;0.0;14500;0;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=eafa5eff-1edb-49f8-8b23-1f814ae5e725&famille=BDIF&bdifId=036515DD7102_2017DD515630
FR0012613610;PRODWAYS GROUP;Olivier Strebelle, Administrateur;2017-10-27;Cession;Action;107162.0;19000;2036078000;727.1707142857143;Euros;http://www.amf-france.org/technique/multimedia?docId=fe816370-097a-45ea-aaf7-40ed97fdea09&famille=BDIF&bdifId=526515DD7102_2017DD515625
FR0010397232;NOVACYT;CUP92 SAS personne morale liée à jean-pierre crinelli, administrateur;2017-10-27;Cession;Action;0.67;5984;4009;0.019091809523809525;Euros;http://www.amf-france.org/technique/multimedia?docId=26445289-19cd-4d48-870d-c9c9e44de146&famille=BDIF&bdifId=906515DD7102_2017DD515609
FR0010879056;DEINOVE;TRUFFLE CAPITAL SAS SAS, MEMBRE DU CONSEIL D'ADMINISTRATION;2017-10-24;Cession;Action;1.8;233924;421063;2.216122105263158;Euros;http://www.amf-france.org/technique/multimedia?docId=7662686c-5b07-4193-a0d0-c46a4bd0f639&famille=BDIF&bdifId=206515DD7102_2017DD515602
FR0012353530;VEXIM;Bpifrance Participations SA personne morale liée à Philippe BOUCHERON , censeur;2017-10-24;Cession;BSAAR;3.91;92165;360365;36.036515;Euros;http://www.amf-france.org/technique/multimedia?docId=430297a7-91cc-451a-8d37-47614026bb82&famille=BDIF&bdifId=995515DD7102_2017DD515599
FR0011072602;VEXIM;Bpifrance Participations SA personne morale liée à Philippe BOUCHERON, censeur;2017-10-24;Cession;Action;20.0;941503;18830060;12.307228758169934;Euros;http://www.amf-france.org/technique/multimedia?docId=f06aefea-32e1-44c6-aa11-1143cd2bf490&famille=BDIF&bdifId=895515DD7102_2017DD515598
FR0011072602;VEXIM;Jose DA GLORIA, Directeur Administratif et Financier;2017-10-24;Exercice;Option d'achat;10.150888;119500;1213031;0.7928307947712417;Euros;http://www.amf-france.org/technique/multimedia?docId=37ba3a53-54e7-4d25-a818-87d12a38a202&famille=BDIF&bdifId=695515DD7102_2017DD515596
FR0011072602;VEXIM;Jose DA GLORIA, Directeur Administratif et Financier;2017-10-24;Cession;Action;20.0;119500;2390000;1.5620915032679739;Euros;http://www.amf-france.org/technique/multimedia?docId=f99e6f36-7575-4a4d-a65a-eca18784f866&famille=BDIF&bdifId=595515DD7102_2017DD515595
FR0011072602;VEXIM;vincent gardès, Directeur Général;2017-10-24;Exercice;Option d'achat;10.2272807434721;339160;3468684;2.2671140764418283;Euros;http://www.amf-france.org/technique/multimedia?docId=725f78a4-60b1-45a4-826c-7322303404dd&famille=BDIF&bdifId=495515DD7102_2017DD515594
FR0011072602;VEXIM;vincent gardès, Directeur Général;2017-10-24;Cession;Action;20.0;339160;6783200;4.433464052287582;Euros;http://www.amf-france.org/technique/multimedia?docId=725f78a4-60b1-45a4-826c-7322303404dd&famille=BDIF&bdifId=495515DD7102_2017DD515594
FR0010380626;PROLOGUE;GEORGES SEBAN, PDG;2017-10-23;Cession;Action;0.85;20000;17000;0.04857142857142857;Euros;http://www.amf-france.org/technique/multimedia?docId=a77c0664-1914-4ed2-9afa-e611655e9812&famille=BDIF&bdifId=875515DD7102_2017DD515578
FR0010380626;PROLOGUE;GEORGES SEBAN, PDG;2017-10-18;Cession;Action;0.82;12000;9840;0.028114285714285713;Euros;http://www.amf-france.org/technique/multimedia?docId=f38e8466-3979-40ac-b5ac-dee530548130&famille=BDIF&bdifId=675515DD7102_2017DD515576
FR0010380626;PROLOGUE;GEORGES SEBAN, PDG;2017-10-09;Cession;Action;0.812;10000;8120;0.023200000000000002;Euros;http://www.amf-france.org/technique/multimedia?docId=65591637-bede-4aac-a9bb-b2056c7f2eb7&famille=BDIF&bdifId=375515DD7102_2017DD515573
FR0000121667;ESSILOR INTERNATIONAL;Maureen CAVANAGH, administrateur;2017-10-27;Acquisition;Action;126.99;32;4063;0.0;Dollars;http://www.amf-france.org/technique/multimedia?docId=d7278689-7056-469c-83da-8f143835456b&famille=BDIF&bdifId=078515DD7102_2017DD515870
FR0013251584;@-HEALTH;PEEL sarl personne morale liée à pierre-paul goiffon, directeur général;2017-10-30;Cession;Action;7.4463;2862;21311;0.057598136756756756;Euros;http://www.amf-france.org/technique/multimedia?docId=aaf1c5f9-4b1a-419c-80dd-1af854a1a027&famille=BDIF&bdifId=158515DD7102_2017DD515851
FR0013251584;@-HEALTH;PEEL sarl personne morale liée à pierre-paul goiffon, directeur général;2017-10-27;Cession;Action;7.44;185;1376;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=e6682348-8209-4db1-86a0-e3536edca72d&famille=BDIF&bdifId=948515DD7102_2017DD515849
FR0013251584;@-HEALTH;PEEL sarl personne morale liée à pierre-paul goiffon, directeur général;2017-10-26;Cession;Action;7.44;4;29;0.0;Euros;http://www.amf-france.org/technique/multimedia?docId=9802e0fb-d8af-4e40-b59e-13317cc2ac2e&famille=BDIF&bdifId=848515DD7102_2017DD515848
